model,siren_class,snr_bin,snr_bin_left,snr_bin_right,snr_bin_center,group_count,seg_precision_mean,seg_precision_std,seg_precision_valid_n,seg_precision_nan_n,seg_f1_mean,seg_f1_std,seg_f1_valid_n,seg_f1_nan_n,seg_balanced_accuracy_mean,seg_balanced_accuracy_std,seg_balanced_accuracy_valid_n,seg_balanced_accuracy_nan_n
EPANNs finetuned AS-EV v2,piercer,"[6.0, 12.0)",6.0,12.0,9.0,3,0.9932098765432099,0.00595287084011912,3,0,0.9653116496903239,0.0236198236385777,3,0,0.9477638537575662,0.044981128142796194,3,0
EPANNs finetuned AS-EV v2,piercer,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,piercer,"[-54.0, -48.0)",-54.0,-48.0,-51.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,piercer,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.7903545794975816,0.21247978057374792,6,0,0.3247600584803116,0.15394274828763738,6,0,0.5031310317155356,0.15923837904080254,6,0
EPANNs unified EV,piercer,"[-42.0, -36.0)",-42.0,-36.0,-39.0,7,0.7990887103808868,0.21957470910357965,7,0,0.35789757737469124,0.23226519165587714,7,0,0.510536834418181,0.06404598305265428,7,0
EPANNs unified EV,piercer,"[-36.0, -30.0)",-36.0,-30.0,-33.0,20,0.8436114259365581,0.13738459429161978,20,0,0.42190230825540376,0.18142622763978822,20,0,0.5280566108178528,0.10108453295424098,20,0
EPANNs unified EV,piercer,"[-30.0, -24.0)",-30.0,-24.0,-27.0,20,0.7823045923312846,0.2003182023847939,20,0,0.48274676562420715,0.2299741617749505,20,0,0.4990620003444163,0.08618586129460656,20,0
EPANNs unified EV,piercer,"[-24.0, -18.0)",-24.0,-18.0,-21.0,25,0.7850002466557758,0.17406006664954593,25,0,0.4658462415433584,0.20764365139534355,25,0,0.5346028258971205,0.09990686832473218,25,0
EPANNs unified EV,piercer,"[-18.0, -12.0)",-18.0,-12.0,-15.0,27,0.8238520429506011,0.1988597508948211,27,0,0.6689280695867785,0.20437555970135482,27,0,0.6367091098549262,0.12403278414194639,27,0
EPANNs unified EV,piercer,"[-12.0, -6.0)",-12.0,-6.0,-9.0,21,0.852284105808837,0.10581205762066273,21,0,0.8505855010285677,0.08160085507409748,21,0,0.7061861018337334,0.12228640218723956,21,0
EPANNs unified EV,piercer,"[-6.0, 0.0)",-6.0,0.0,-3.0,11,0.8585345125607315,0.1065344618357194,11,0,0.8829191528733639,0.06853638981075647,11,0,0.7293294362987904,0.10341540633221367,11,0
EPANNs unified EV,piercer,"[0.0, 6.0)",0.0,6.0,3.0,3,0.8194265961256253,0.1707195500199751,3,0,0.8867723779488484,0.10099039229261393,3,0,0.761161200734421,0.10852454467335171,3,0
EPANNs unified EV,piercer,"[6.0, 12.0)",6.0,12.0,9.0,3,0.8884818884818885,0.10352861600706313,3,0,0.9266301215097646,0.048207206346914215,3,0,0.673370750322133,0.1985108707397094,3,0
EPANNs unified EV,piercer,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,rumbler,"[-54.0, -48.0)",-54.0,-48.0,-51.0,2,0.0,,1,1,0.0,,1,1,0.47,0.042426406871192854,2,0
CLAP unified EV,rumbler,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,,,0,6,,,0,6,0.5,0.0,6,0
CLAP unified EV,rumbler,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,0.75,0.5,4,6,0.034715864268974495,0.02507657061970128,4,6,0.4993909068445762,0.015539730954931198,10,0
CLAP unified EV,rumbler,"[-36.0, -30.0)",-36.0,-30.0,-33.0,22,0.8333333333333334,0.25819888974716115,6,16,0.04483828551560957,0.0252746793431075,6,16,0.49936935303066926,0.013176281819440864,22,0
CLAP unified EV,rumbler,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.7769230769230769,0.38330546164003054,13,12,0.05506093228954934,0.04848566908610475,13,12,0.49512070267970065,0.03213814966950781,25,0
CLAP unified EV,rumbler,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.8649999999999999,0.2573992734350901,20,9,0.07199768380338142,0.04456669851744564,20,9,0.5064206771150919,0.017959441926357275,29,0
CLAP unified EV,rumbler,"[-18.0, -12.0)",-18.0,-12.0,-15.0,20,0.9487179487179488,0.1849000654084097,13,7,0.17667217661423448,0.1829954931040894,13,7,0.5316826549564013,0.06020524626421575,20,0
CLAP unified EV,rumbler,"[-12.0, -6.0)",-12.0,-6.0,-9.0,19,0.9334772370486657,0.1546447790155931,14,5,0.23160799006341365,0.12402147578086536,14,5,0.5426670855886996,0.05161513645032653,19,0
CLAP unified EV,rumbler,"[-6.0, 0.0)",-6.0,0.0,-3.0,9,1.0,0.0,7,2,0.2663331873657419,0.2076998277214382,7,2,0.5660197459027505,0.07806774184437514,9,0
CLAP unified EV,rumbler,"[0.0, 6.0)",0.0,6.0,3.0,1,1.0,,1,0,0.1153846153846153,,1,0,0.5306122448979592,,1,0
CLAP unified EV,rumbler,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
CLAP unified EV,rumbler,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,rumbler,"[-54.0, -48.0)",-54.0,-48.0,-51.0,2,0.625,0.5303300858899106,2,0,0.03515731874145,0.016831269483783766,2,0,0.48321080790782983,0.04078222077698718,2,0
EPANNs finetuned AS-EV v2,rumbler,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.7472222222222221,0.28061055566499504,5,1,0.07427560346187005,0.03822630700730642,5,1,0.49009948355930505,0.02914942383391437,6,0
EPANNs finetuned AS-EV v2,rumbler,"[-42.0, -36.0)",-42.0,-36.0,-39.0,10,0.840935927216415,0.2106038844762504,10,0,0.16490421442356654,0.12237573374248231,10,0,0.49416187762289193,0.07662156775180504,10,0
EPANNs finetuned AS-EV v2,rumbler,"[-36.0, -30.0)",-36.0,-30.0,-33.0,22,0.8972222222222221,0.13262680453455009,18,4,0.09342597188639531,0.07515056075589327,18,4,0.5036099722333496,0.030262386238882652,22,0
EPANNs finetuned AS-EV v2,rumbler,"[-30.0, -24.0)",-30.0,-24.0,-27.0,25,0.6964589809163652,0.30255824103918394,22,3,0.13521654659839613,0.10635077920924822,22,3,0.47350173767019077,0.07200180623475903,25,0
EPANNs finetuned AS-EV v2,rumbler,"[-24.0, -18.0)",-24.0,-18.0,-21.0,29,0.8039458588408168,0.2829951804875775,28,1,0.16915236256162336,0.1197566933539343,28,1,0.5172963687352263,0.03763437681354751,29,0
EPANNs finetuned AS-EV v2,rumbler,"[-18.0, -12.0)",-18.0,-12.0,-15.0,20,0.8388448807818453,0.22693668872676387,19,1,0.28171895672446273,0.21438540882446805,19,1,0.5600844031586736,0.09541619384135824,20,0
EPANNs finetuned AS-EV v2,rumbler,"[-12.0, -6.0)",-12.0,-6.0,-9.0,19,0.8646769107084631,0.16327123234797777,19,0,0.42807931007475153,0.23067728385912328,19,0,0.6089315585586279,0.11859189482811085,19,0
EPANNs finetuned AS-EV v2,rumbler,"[-6.0, 0.0)",-6.0,0.0,-3.0,9,0.9317728782845062,0.09248678890346243,9,0,0.4373857742577257,0.295662059113839,9,0,0.6018241062419993,0.1288324644640913,9,0
EPANNs finetuned AS-EV v2,rumbler,"[0.0, 6.0)",0.0,6.0,3.0,1,0.9365079365079364,,1,0,0.8368794326241135,,1,0,0.8316935002981514,,1,0
EPANNs finetuned AS-EV v2,rumbler,"[6.0, 12.0)",6.0,12.0,9.0,0,,,0,0,,,0,0,,,0,0
EPANNs finetuned AS-EV v2,rumbler,"[12.0, 18.0)",12.0,18.0,15.0,0,,,0,0,,,0,0,,,0,0
EPANNs unified EV,rumbler,"[-54.0, -48.0)",-54.0,-48.0,-51.0,2,0.5870967741935484,0.2645947955407726,2,0,0.2554001332191454,0.23953755267143487,2,0,0.48789749590697284,0.10032992101789083,2,0
EPANNs unified EV,rumbler,"[-48.0, -42.0)",-48.0,-42.0,-45.0,6,0.8776840806252572,0.0789910854727324,6,0,0.2529731508999959,0.08059029313518606,6,0,0.525711686518506,0.03823677716622756,6,0
