segment_id,audio_duration,num_inferences,num_gt_events,num_detected,seg_precision,seg_recall,seg_f1,seg_accuracy,seg_balanced_accuracy,seg_error_rate,seg_deletion_rate,seg_insertion_rate,evt_precision,evt_recall,evt_f1,evt_error_rate,evt_deletion_rate,evt_insertion_rate,throughput,cpu_mean,ram_mean_mb,model,siren_class,snr_avg,snr_min,snr_max
piercer_electronic_square_16_6.264_31.803_i0,40.0,130,1,13,0.8888888888888888,0.3855421686746988,0.5378151260504203,0.5258620689655172,0.6321650237312888,0.6626506024096386,0.6144578313253012,0.0481927710843373,0.0,0.0,0.0,13.999999999999996,0.9999999999999998,12.999999999999996,0.9803610483247716,35.30909090909092,1418.3806626228502,EPANNs finetuned AS-EV v2,piercer,-9.535230681861606,-70.48140147753568,0.5920286276740984
piercer_electronic_trapezoid_00_6.011_40.000_i0,40.0,130,1,6,1.0,0.7207207207207207,0.837696335078534,0.7615384615384615,0.8603603603603603,0.2792792792792792,0.2792792792792792,0.0,0.0,0.0,0.0,6.999999999999999,0.9999999999999998,5.999999999999999,0.9803620778644636,35.35749385749387,1418.3807777948402,EPANNs finetuned AS-EV v2,piercer,-2.7647185371014906,-67.74397171897964,73.59538245165156
rumbler_electronic_trapezoid_06_6.078_38.135_i0,40.0,130,1,11,0.9090909090909092,0.3809523809523809,0.5369127516778524,0.4651162790697674,0.6071428571428572,0.6571428571428571,0.6190476190476191,0.0380952380952381,0.0,0.0,0.0,11.999999999999998,0.9999999999999998,10.999999999999998,0.9803613451866318,35.38206388206392,1416.4169513974202,EPANNs finetuned AS-EV v2,rumbler,-5.335660243473515,-74.97952321491384,11.770755860799444
two-tone_pneumatic_square_03_3.990_24.241_i0,40.0,130,1,14,0.6521739130434783,0.2238805970149253,0.3333333333333333,0.5275590551181102,0.545273631840796,0.8955223880597015,0.7761194029850746,0.1194029850746268,0.0,0.0,0.0,14.999999999999996,0.9999999999999998,13.999999999999996,0.9803586575029364,35.38525798525801,1416.41683622543,EPANNs finetuned AS-EV v2,two-tone,-29.610543803630506,-81.81542085784555,-3.509056354717241
two-tone_pneumatic_sine_00_4.625_28.035_i0,40.0,130,1,4,0.25,0.0129870129870129,0.0246913580246913,0.2818181818181818,0.461038961038961,1.025974025974026,0.987012987012987,0.0389610389610389,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.980356265202573,35.45479115479116,1418.3807777948402,EPANNs finetuned AS-EV v2,two-tone,-34.16924697166728,-89.82548027359937,-21.13111125077552
hi-lo_electronic_sawtooth_13_3.665_40.000_i0,40.0,130,1,2,1.0,0.0252100840336134,0.0491803278688524,0.1076923076923077,0.5126050420168067,0.9747899159663864,0.9747899159663864,0.0,0.0,0.0,0.0,2.999999999999999,0.9999999999999998,2.0,0.980366227208697,35.41400491400491,1416.41683622543,EPANNs finetuned AS-EV v2,hi-lo,-21.50065536303659,-69.41764765433294,-12.626423447251165
two-tone_pneumatic_triangle_11_6.941_40.000_i0,40.0,130,1,9,0.9583333333333334,0.2129629629629629,0.3484848484848485,0.3384615384615385,0.5837542087542088,0.7962962962962964,0.7870370370370371,0.0092592592592592,0.0,0.0,0.0,9.999999999999998,0.9999999999999998,8.999999999999998,0.980360636394396,35.53022113022112,1418.3806626228502,EPANNs finetuned AS-EV v2,two-tone,-21.968448384853513,-85.4979099117023,7.101639554622368
yelp_electronic_trapezoid_07_6.926_40.000_i0,40.0,130,1,6,1.0,0.0648148148148148,0.1217391304347826,0.2230769230769231,0.5324074074074074,0.9351851851851852,0.9351851851851852,0.0,0.0,0.0,0.0,6.999999999999999,0.9999999999999998,5.999999999999999,0.9803633071973216,35.40515970515972,1418.3807777948402,EPANNs finetuned AS-EV v2,yelp,-25.691838756514684,-88.31950055235538,-16.391057069066143
rumbler_electronic_sine_01_3.876_28.116_i0,40.0,130,1,4,0.5,0.0253164556962025,0.0481927710843373,0.2685185185185185,0.4781754692274116,1.0,0.9746835443037974,0.0253164556962025,0.0,0.0,0.0,4.999999999999999,0.9999999999999998,3.999999999999999,0.9803680891140968,35.306879606879626,1416.4169513974202,EPANNs finetuned AS-EV v2,rumbler,-13.899497592946794,-82.4099525596313,7.092055954247176
wail_electronic_sine_07_7.255_40.000_i0,40.0,130,1,11,0.9770114942528736,0.794392523364486,0.8762886597938144,0.8153846153846154,0.8537180008126777,0.2242990654205607,0.205607476635514,0.0186915887850467,0.0,0.0,0.0,11.999999999999998,0.9999999999999998,10.999999999999998,0.9803672919609736,35.46019656019656,1416.4169513974202,EPANNs finetuned AS-EV v2,wail,-4.618278394149731,-81.4067142417626,19.65751106390605
